Country,Year,Divorce_Rate
Denmark,1990,11.84
Denmark,1991,11.56
Denmark,1992,11.75
Denmark,1993,12.08
Denmark,1994,11.73
Denmark,1995,12.03
Denmark,1996,11.58
Denmark,1997,11.32
Denmark,1998,11.02
Denmark,1999,11.11
Denmark,2000,10.85
Denmark,2001,10.89
Denmark,2002,10.89
Denmark,2003,10.68
Denmark,2004,10.32
Denmark,2005,10.12
Denmark,2006,10.21
Denmark,2007,10.17
Denmark,2008,9.95
Denmark,2009,9.94
Denmark,2010,9.77
Denmark,2011,9.44
Denmark,2012,9.33
Denmark,2013,9.36
Denmark,2014,9.11
Denmark,2015,9.26
Denmark,2016,9.21
Denmark,2017,9.23
Denmark,2018,9.52
Denmark,2019,9.27
Denmark,2020,9.38
Denmark,2021,9.74
Denmark,2022,10.06
Denmark,2023,9.63
Estonia,1990,12.39
Estonia,1991,12.59
Estonia,1992,13.1
Estonia,1993,14.15
Estonia,1994,15.07
Estonia,1995,14.38
Estonia,1996,13.29
Estonia,1997,13.06
Estonia,1998,13.81
Estonia,1999,13.13
Estonia,2000,13.18
Estonia,2001,13.35
Estonia,2002,13.33
Estonia,2003,13.28
Estonia,2004,13.04
Estonia,2005,12.79
Estonia,2006,12.87
Estonia,2007,13.01
Estonia,2008,12.48
Estonia,2009,12.08
Estonia,2010,11.85
Estonia,2011,11.49
Estonia,2012,11.69
Estonia,2013,11.57
Estonia,2014,11.8
Estonia,2015,11.6
Estonia,2016,11.7
Estonia,2017,11.82
Estonia,2018,11.92
Estonia,2019,11.6
Estonia,2020,11.51
Estonia,2021,13.24
Estonia,2022,12.65
Estonia,2023,12.21
Finland,1990,10.04
Finland,1991,9.82
Finland,1992,9.87
Finland,1993,10.05
Finland,1994,9.42
Finland,1995,9.63
Finland,1996,9.58
Finland,1997,9.56
Finland,1998,9.55
Finland,1999,9.56
Finland,2000,9.54
Finland,2001,9.34
Finland,2002,9.5
Finland,2003,9.39
Finland,2004,9.09
Finland,2005,9.13
Finland,2006,9.12
Finland,2007,9.27
Finland,2008,9.24
Finland,2009,9.34
Finland,2010,9.48
Finland,2011,9.39
Finland,2012,9.52
Finland,2013,9.45
Finland,2014,9.56
Finland,2015,9.56
Finland,2016,9.81
Finland,2017,9.74
Finland,2018,9.87
Finland,2019,9.8
Finland,2020,10.02
Finland,2021,10.39
Finland,2022,11.31
Finland,2023,10.71
France,1990,9.27
France,1991,9.19
France,1992,9.09
France,1993,9.24
France,1994,9
France,1995,9.16
France,1996,9.21
France,1997,9.09
France,1998,9.12
France,1999,9.14
France,2000,8.97
France,2001,8.91
France,2002,8.93
France,2003,9.14
France,2004,8.38
France,2005,8.62
France,2006,8.4
France,2007,8.43
France,2008,8.56
France,2009,8.62
France,2010,8.63
France,2011,8.49
France,2012,8.83
France,2013,8.79
France,2014,8.57
France,2015,9.09
France,2016,9.05
France,2017,9.24
France,2018,9.23
France,2019,9.26
France,2020,10.08
France,2021,9.9
France,2022,9.94
France,2023,9.27
Georgia,1990,10.41
Georgia,1991,10.88
Georgia,1992,11.21
Georgia,1993,11.34
Georgia,1994,10.8
Georgia,1995,10.29
Georgia,1996,9.58
Georgia,1997,10.64
Georgia,1998,10.83
Georgia,1999,11.02
