"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:CPI(3.0.1)","MSR.CPI._T.IX.A","OBS_VALUE","Montserrat, United Kingdom-British Overseas Territory","Consumer price index (CPI)","All Items","94.6808510638298","99.1931068806769","100.0553689187508","99.6736940976845","98.53065329864178","98.28833333333333","99.46083333333333","100.7675","99.68833333333335","97.8002911027672","100.3516666666666","103.3425","102.2166666666667",""
"IMF.STA:CPI(3.0.1)","SXM.CPI._T.IX.A","OBS_VALUE","Sint Maarten, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","116.31314625","120.983333333333","124.042575833333","126.382954916667","126.800053","126.941666666667","129.724240833333","","","","","","",""
"IMF.STA:CPI(3.0.1)","CUW.CPI._T.IX.A","OBS_VALUE","Curaçao, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","116.991666666667","120.716666666667","122.325","124.158333333333","123.566666666667","123.508333333333","125.466666666667","128.708333333333","132.083333333333","","","","",""
"IMF.STA:CPI(3.0.1)","LCA.CPI._T.IX.A","OBS_VALUE","St. Lucia","Consumer price index (CPI)","All Items","94.45108013495458","98.39690233924318","99.84192491666666","103.353321","102.33673675","99.18658924999998","99.29000325","101.21187935","101.7575","99.97083333333335","102.3808333333334","108.9108333333333","113.3441666666667",""
"IMF.STA:CPI(3.0.1)","VCT.CPI._T.IX.A","OBS_VALUE","St. Vincent and the Grenadines","Consumer price index (CPI)","All Items","103.9083333333333","106.6083333333334","107.4666666666667","107.675","105.8083333333333","105.65","107.925","110.4333333333333","111.4416666666667","110.7416666666667","112.4833333333333","118.85","124.275","128.7833333333334"
"IMF.STA:CPI(3.0.1)","VGB.CPI._T.IX.A","OBS_VALUE","British Virgin Islands","Consumer price index (CPI)","All Items","","","","","104.94079174532","106.049259007818","","","","","","","",""
"IMF.STA:CPI(3.0.1)","TTO.CPI._T.IX.A","OBS_VALUE","Trinidad and Tobago","Consumer price index (CPI)","All Items","79.66578180990174","87.04305736165298","91.56913740788902","96.77431007079902","101.2851696773048","104.3953003885774","106.3583333333333","107.4416666666666","108.5166666666667","109.1666666666666","111.414656653827","117.9083333333333","123.3666666666667","124.0166666666667"
"IMF.STA:CPI(3.0.1)","CYM.CPI._T.IX.A","OBS_VALUE","Cayman Islands","Consumer price index (CPI)","All Items","100.2104","101.40185","103.59275","104.9125","102.44965","101.809075","","","","","","","",""
"IMF.STA:CPI(3.0.1)","BHR.CPI._T.IX.A","OBS_VALUE","Bahrain, Kingdom of","Consumer price index (CPI)","All Items","83.7730799041517","86.08303604460701","88.92378619292595","91.27809075091955","92.96548256841628","95.55623857158382","96.88133442415548","98.90389637831915","99.89869159537749","97.58333333333331","96.99166666666667","100.5083333333333","100.5833333333334","101.5083333333334"
"IMF.STA:CPI(3.0.1)","IRN.CPI._T.IX.A","OBS_VALUE","Iran, Islamic Republic of","Consumer price index (CPI)","All Items","11.22705865662183","14.28719700910352","19.51674480502989","22.75780342096166","25.59904270838198","27.4538022738507","29.66243990528405","35.00586693151902","48.97577921757708","63.9594972067038","91.71089385474842","131.5945530726256","190.2583333333334",""
"IMF.STA:CPI(3.0.1)","CYP.CPI._T.IX.A","OBS_VALUE","Cyprus","Consumer price index (CPI)","All Items","101.534396910883","103.9601085836224","103.544935909533","102.1419135685978","100.0","98.57083333333335","99.095","100.5175","100.7691666666667","100.1258333333333","102.575","111.1866666666666","115.1241666666667","117.1966666666667"
"IMF.STA:CPI(3.0.1)","IRQ.CPI._T.IX.A","OBS_VALUE","Iraq","Consumer price index (CPI)","All Items","","","","","103.5570163789287","104.1333333333333","104.325","104.7083333333334","104.5","105.1","111.45","117.0166666666667","122.1166666666667",""
"IMF.STA:CPI(3.0.1)","ISR.CPI._T.IX.A","OBS_VALUE","Israel","Consumer price index (CPI)","All Items","90.81666666666668","92.34166666666668","93.79166666666669","94.24166666666667","93.675","93.15833333333332","93.39999999999998","94.14166666666668","94.94166666666668","94.35833333333332","95.78333333333332","99.99166666666667","104.2166666666667","107.4166666666667"
"IMF.STA:CPI(3.0.1)","JOR.CPI._T.IX.A","OBS_VALUE","Jordan","Consumer price index (CPI)","All Items","83.56075529122808","87.33371522030377","91.54723785619822","94.20163083874775","93.37562255787482","92.64875826681785","95.7283052247098","99.99999999999994","100.7615140472655","101.0973464811927","102.4582115662692","106.7913288495422","109.0177890813133",""
"IMF.STA:CPI(3.0.1)","KWT.CPI._T.IX.A","OBS_VALUE","Kuwait","Consumer price index (CPI)","All Items","94.5627427184466","97.6408980582524","100.2599167822468","103.1764042995839","106.5520284327323","109.9599861303745","112.3481333795654","112.9583333333333","114.1916666666667","116.5916666666666","120.5833333333334","125.3833333333333","129.95","133.7166666666666"
